ID,label
1,1
2,0
3,1
4,1
5,0
6,1
7,1
8,1
9,1
10,1
11,0
12,0
13,1
14,1
15,1
16,0
17,1
18,0
19,0
20,0
21,0
22,0
23,0
24,1
25,1
26,1
27,0
28,1
29,0
30,1
31,1
32,0
33,1
34,0
35,0
36,1
37,1
38,1
39,0
40,0
41,1
42,0
43,0
44,0
45,1
46,0
47,1
48,1
49,1
50,1
51,0
52,1
53,0
54,1
55,1
56,0
57,1
58,0
59,1
60,1
61,1
62,1
63,0
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,0
77,1
78,1
79,0
80,0
81,1
82,1
83,0
84,0
85,0
86,1
87,1
88,1
89,0
90,1
91,0
92,1
93,0
94,1
95,0
96,0
97,1
98,0
99,0
100,0
101,1
102,1
103,1
104,0
105,0
106,0
107,0
108,0
109,0
110,1
111,1
112,0
113,0
114,1
115,0
116,0
117,0
118,1
119,1
120,1
121,0
122,0
123,1
124,1
125,1
126,0
127,0
128,0
129,1
130,1
131,1
132,0
133,0
134,0
135,0
136,0
137,1
138,0
139,1
140,0
141,0
142,0
143,0
144,1
145,0
146,0
147,0
148,0
149,1
150,1
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,1
161,1
162,1
163,0
164,0
165,0
166,1
167,1
168,0
169,0
170,1
171,1
172,0
173,0
174,0
175,0
176,1
177,0
178,1
179,0
180,0
181,1
182,0
183,1
184,0
185,1
186,1
187,1
188,0
189,0
190,0
191,0
192,0
193,0
194,1
195,0
196,0
197,0
198,1
199,1
200,0
201,0
202,1
203,0
204,1
205,0
206,0
207,0
208,0
209,1
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,1
218,0
219,0
220,0
221,1
222,1
223,0
224,0
225,0
226,0
227,1
228,1
229,0
230,1
231,1
232,0
233,1
234,0
235,0
236,1
237,0
238,0
239,1
240,1
